"Sample","intercept","slope","sd_intercept","sd_Rank","tval_intercept","tval_Rank","pval_intercept","pval_Rank","rsquare","rsquare_adj","F_value","df_num","df_den","Biomol","Species","Site","Slide","Type","SdmWtr","Family","funct_trait","funct_category","funct_process","n"
"PrioPunc_1",1.10543184532968,0.063795797062675,0.917230219679501,0.14324729392526,1.20518471983614,0.445354291271713,0.267288515077902,0.669510698574213,0.0276,-0.1114,0.1983,1,7,"35","PrioPunc","F",529810,"F","F11","Scorpaeniform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"Sdmt_A",1.56452930385228,-0.0323385027900335,0.47728482179121,0.0745393661114662,3.27797833164007,-0.433844617643709,0.0135246962474147,0.67745826640155,0.0262,-0.1129,0.1882,1,7,"Sa","Sdmt","A",529810,"S","Sdmt",NA,"ABC_Ab_trp","Antibiotic resistance","Transporter",103
"Sdmt_B",1.0320379186114,0.0309994092273507,0.5534910447479,0.0875146182954771,1.86459731987436,0.354219784432891,0.104503693451791,0.733604333036801,0.0176,-0.1227,0.1255,1,7,"Sb","Sdmt","B",529810,"S","Sdmt",NA,"ABC_Ab_trp","Antibiotic resistance","Transporter",103
"Sdmt_C",1.08397972408383,0.0322211208038155,0.422583952897752,0.0660973607243152,2.56512278010261,0.487479688307166,0.0426137795029569,0.643216845700447,0.0381,-0.1222,0.2376,1,6,"Sc","Sdmt","C",529804,"S","Sdmt",NA,"ABC_Ab_trp","Antibiotic resistance","Transporter",103
"SphoSpen_1",0.986475926464705,0.0620418884285816,0.506189362701342,0.0804133910583389,1.94882784814018,0.77153677530613,0.0992200719890663,0.46967442149707,0.0903,-0.0614,0.5953,1,6,"21","SphoSpen","F",529804,"F","F12","Tetraodontiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"SphoTest_1",0.636409568379877,0.128028749934089,0.412272100741781,0.0639420376314478,1.54366392301302,2.00226259088,0.183320315144845,0.101645377207518,0.445,0.334,4.0091,1,5,"10","SphoTest","F",529810,"F","F13","Tetraodontiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"SphoTest_2",1.57819370983309,-0.055847140020791,0.750995749956131,0.116188945853221,2.10146823057957,-0.480657945647784,0.0737112199464339,0.645418271403721,0.032,-0.1063,0.231,1,7,"11","SphoTest","F",529810,"F","F14","Tetraodontiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"SphoTest_3",1.34121661666589,0.0380652326427743,0.75977051920585,0.112225543213428,1.76529173317727,0.33918510485962,0.15227360921842,0.751529741226779,0.028,-0.2151,0.115,1,4,"12","SphoTest","F",529810,"F","F15","Tetraodontiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"SynoFoet_2",0.530491921906678,0.137683027355091,0.525835602176844,0.0860600517885026,1.00885508647676,1.59984829771489,0.346637603424239,0.153665287680231,0.2677,0.1631,2.5595,1,7,"43","SynoFoet","F",529804,"F","F16","Aulopiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"SynoFoet_3",0.680642216677596,0.0881156938982753,0.326309133901074,0.0509609249799435,2.08588159497841,1.72908348765166,0.0754272901607117,0.127420073010154,0.2993,0.1992,2.9897,1,7,"44","SynoFoet","F",529804,"F","F17","Aulopiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"UrobJama_1",1.19837039859586,0.0270442232448242,0.425159606670404,0.0685843262467791,2.81863653036275,0.394320754096411,0.0371682276841388,0.709601251667319,0.0302,-0.1638,0.1555,1,5,"29","UrobJama","F",529810,"F","F18","Rajiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"Wtr_A",1.12676699626155,0.0642420281529819,0.498847385696624,0.0816430680423432,2.25874090667642,0.786864453938252,0.0584398008541856,0.45716955401669,0.0813,-0.05,0.6192,1,7,"WA","Wtr","A",529804,"W","Wtr",NA,"ABC_Ab_trp","Antibiotic resistance","Transporter",103
"Wtr_B",0.40656122103266,0.155565955757404,0.592685729197217,0.0915897893799498,0.685964248849623,1.69850762634748,0.51834924436253,0.140328463309294,0.3247,0.2121,2.8849,1,6,"WB","Wtr","B",529804,"W","Wtr",NA,"ABC_Ab_trp","Antibiotic resistance","Transporter",103
"Wtr_C",0.509364697600755,0.142655492335313,0.347597904182759,0.0549600543559245,1.46538483538423,2.59562138369565,0.18623814833196,0.0356517194149915,0.4904,0.4176,6.7373,1,7,"WC","Wtr","C",529804,"W","Wtr",NA,"ABC_Ab_trp","Antibiotic resistance","Transporter",103
"AcanQuad_1",0.920574029996979,-0.00425706484898882,0.158437063218471,0.0255344447788369,5.81034520141029,-0.166718520252185,0.000400415851276559,0.871728370495315,0.0035,-0.1211,0.0278,1,8,"20","AcanQuad","F",529804,"F","F1","Tetraodontiform","abfB","Carbon cycling","Glycan degradation",455
"ArioFeli_2",1.05122418010446,-0.0210279855127344,0.108432710196971,0.0174755135856457,9.69471461328306,-1.20328283398816,1.0693832492925e-05,0.263263823984806,0.1533,0.0474,1.4479,1,8,"16","ArioFeli","F",529804,"F","F2","Siluriform","abfB","Carbon cycling","Glycan degradation",455
"ChaeFabe_1",0.905975724594043,0.0104922838940674,0.26623560994915,0.0429077536676659,3.40290964370649,0.244531186026038,0.0093202894023453,0.812974556689612,0.0074,-0.1167,0.0598,1,8,"8","ChaeFabe","F",529804,"F","F3","Perciform","abfB","Carbon cycling","Glycan degradation",455
"ChilShoe_1",0.821423232287934,0.0225296159696947,0.290343123364955,0.046793031250867,2.82914650351619,0.481473744432346,0.0221793300644243,0.643073937866125,0.0282,-0.0933,0.2318,1,8,"13","ChilShoe","F",529810,"F","F4","Tetraodontiform","abfB","Carbon cycling","Glycan degradation",455
"ChilShoe_2",0.566556647979894,0.0476460605032366,0.1966927434182,0.0316999059007075,2.88041459046257,1.50303476144304,0.0204984877764958,0.171235387480805,0.2202,0.1227,2.2591,1,8,"14","ChilShoe","F",529810,"F","F5","Tetraodontiform","abfB","Carbon cycling","Glycan degradation",455
"GimnMicr_1",0.77510114122219,0.032272972773817,0.285329792754276,0.0459850598643997,2.71650967023167,0.701814303797434,0.0263908677482345,0.502697950333989,0.058,-0.0598,0.4925,1,8,"18","GimnMicr","F",529810,"F","F6","Rajiform","abfB","Carbon cycling","Glycan degradation",455
"GimnMicr_2",0.533552995992225,0.088535544045282,0.342762680141203,0.0552412077737335,1.55662511383219,1.60270833338621,0.158172240479446,0.147666698906999,0.243,0.1484,2.5687,1,8,"19","GimnMicr","F",529810,"F","F7","Rajiform","abfB","Carbon cycling","Glycan degradation",455
"HaemBona",0.680544621785718,0.0470130395597494,0.119492816333463,0.0192580110875143,5.69527644144361,2.44121988226655,0.000456862129898836,0.0404873959149564,0.4269,0.3553,5.9596,1,8,"7","HaemBona","F",529810,"F","F8","Perciform","abfB","Carbon cycling","Glycan degradation",455
"OpsaBeta_1",1.10761031746488,-0.0219936885659097,0.208868625843484,0.0336622270338208,5.30290422025792,-0.653364037495572,0.000725840683741137,0.531846771244743,0.0507,-0.068,0.4269,1,8,"22","OpsaBeta","F",529804,"F","F9","Batrachoidiform","abfB","Carbon cycling","Glycan degradation",455
"OrthChry_2",0.846293663756399,-0.00301134394424074,0.253249111552876,0.0408147899416665,3.34174386068755,-0.0737807042139535,0.010204679398069,0.942996324031629,7e-04,-0.1242,0.0054,1,8,"39","OrthChry","F",529804,"F","F10","Perciform","abfB","Carbon cycling","Glycan degradation",455
"PrioPunc_1",1.1425113764523,-0.0112000665238589,0.262330790271605,0.0422784349943571,4.35523171057958,-0.264912041454556,0.00242814649871501,0.797774982306607,0.0087,-0.1152,0.0702,1,8,"35","PrioPunc","F",529810,"F","F11","Scorpaeniform","abfB","Carbon cycling","Glycan degradation",455
"Sdmt_A",0.766920046598351,0.0119993014690008,0.178673919895617,0.0287959095448638,4.29228869577829,0.416701596117531,0.00264317204358787,0.687852785161911,0.0212,-0.1011,0.1736,1,8,"Sa","Sdmt","A",529810,"S","Sdmt",NA,"abfB","Carbon cycling","Glycan degradation",455
"Sdmt_B",1.30433418768225,-0.0475447127750478,0.194465397090695,0.0313409365367992,6.70728164082545,-1.51701633801603,0.000151564412461765,0.16773701604333,0.2234,0.1263,2.3013,1,8,"Sb","Sdmt","B",529810,"S","Sdmt",NA,"abfB","Carbon cycling","Glycan degradation",455
"Sdmt_C",0.90385673134526,0.0080003288496662,0.2012956776105,0.0324417359155181,4.49019443474684,0.246606065424488,0.00202822921334532,0.811423172353061,0.0075,-0.1165,0.0608,1,8,"Sc","Sdmt","C",529804,"S","Sdmt",NA,"abfB","Carbon cycling","Glycan degradation",455
"SphoSpen_1",1.14801547799766,-0.0122417731527179,0.310757126181559,0.0500830457023266,3.69425310403642,-0.244429486686533,0.00609278291472856,0.813050619797979,0.0074,-0.1167,0.0597,1,8,"21","SphoSpen","F",529804,"F","F12","Tetraodontiform","abfB","Carbon cycling","Glycan degradation",455
"SphoTest_1",0.856152020142122,0.0304509031155775,0.21089661466931,0.0339890670271483,4.05958161767834,0.895902882278447,0.00363554918801371,0.3964610982882,0.0912,-0.0224,0.8026,1,8,"10","SphoTest","F",529810,"F","F13","Tetraodontiform","abfB","Carbon cycling","Glycan degradation",455
"SphoTest_2",1.07560045016914,-0.0111372817325771,0.215225852261578,0.0346867868408627,4.99754299433271,-0.321081389973454,0.0010560626930984,0.756376309338435,0.0127,-0.1107,0.1031,1,8,"11","SphoTest","F",529810,"F","F14","Tetraodontiform","abfB","Carbon cycling","Glycan degradation",455
"SphoTest_3",0.938757158063493,-0.0122023778060338,0.237671318696213,0.0383042012991207,3.94981255295425,-0.318564997890033,0.00423713212723536,0.7582143365554,0.0125,-0.1109,0.1015,1,8,"12","SphoTest","F",529810,"F","F15","Tetraodontiform","abfB","Carbon cycling","Glycan degradation",455
"SynoFoet_2",0.680635984995731,0.0474661272494266,0.227033552698056,0.0365897700736719,2.99795328446868,1.29725131242573,0.0171250210386276,0.230702495028316,0.1738,0.0705,1.6829,1,8,"43","SynoFoet","F",529804,"F","F16","Aulopiform","abfB","Carbon cycling","Glycan degradation",455
"SynoFoet_3",0.678538345316662,0.0418801473196905,0.249636911851153,0.0402326312476078,2.71810102234097,1.04094974703353,0.0263259602817833,0.328332975049349,0.1193,0.0092,1.0836,1,8,"44","SynoFoet","F",529804,"F","F17","Aulopiform","abfB","Carbon cycling","Glycan degradation",455
"UrobJama_1",1.01384881245458,0.00613243716561768,0.280788714327104,0.0452531988087885,3.61071781280175,0.135513893537769,0.00687451241964292,0.895553332265446,0.0023,-0.1224,0.0184,1,8,"29","UrobJama","F",529810,"F","F18","Rajiform","abfB","Carbon cycling","Glycan degradation",455
"Wtr_A",0.777990202450468,0.00866875028446908,0.2374885319103,0.0382747425411988,3.27590640353243,0.226487487803166,0.0112564281077287,0.826502126965109,0.0064,-0.1178,0.0513,1,8,"WA","Wtr","A",529804,"W","Wtr",NA,"abfB","Carbon cycling","Glycan degradation",455
"Wtr_B",0.853685225137599,-2.11533228115425e-05,0.172048812464353,0.0277281768034144,4.96187804443273,-0.000762881849806215,0.00110429205373191,0.999409988735525,0,-0.125,0,1,8,"WB","Wtr","B",529804,"W","Wtr",NA,"abfB","Carbon cycling","Glycan degradation",455
"Wtr_C",0.808739798650964,0.0015392687123662,0.192252845818634,0.0309843516119773,4.20664669595531,0.0496789066830491,0.0029694331765372,0.961596201336817,3e-04,-0.1247,0.0025,1,8,"WC","Wtr","C",529804,"W","Wtr",NA,"abfB","Carbon cycling","Glycan degradation",455
"AcanQuad_1",1.30797913235464,0.00888842708702728,0.723463737837317,0.124480473258516,1.80794014122206,0.0714041877762479,0.113556820408692,0.945073332075726,7e-04,-0.142,0.0051,1,7,"20","AcanQuad","F",529804,"F","F1","Tetraodontiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"ArioFeli_2",2.1385324845193,-0.146423693274916,0.581399511693518,0.100036646735366,3.67824953669142,-1.4637005342878,0.0078778752308444,0.186683373787516,0.2343,0.125,2.1424,1,7,"16","ArioFeli","F",529804,"F","F2","Siluriform","abfB_fungi","Carbon cycling","Glycan degradation",125
"ChaeFabe_1",1.41821917312795,-0.0422631055914347,0.474123303255537,0.0764118891085763,2.99124544899995,-0.553095939447088,0.0173010554976486,0.595311456197968,0.0368,-0.0836,0.3059,1,8,"8","ChaeFabe","F",529804,"F","F3","Perciform","abfB_fungi","Carbon cycling","Glycan degradation",125
"ChilShoe_1",1.80950073920071,-0.0466825478181284,0.602193020555867,0.101971453452298,3.0048517293183,-0.45780016110064,0.0238583807486041,0.663206517765953,0.0338,-0.1273,0.2096,1,6,"13","ChilShoe","F",529810,"F","F4","Tetraodontiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"ChilShoe_2",0.794580097149562,0.171784639754128,0.71993325464141,0.124385521442148,1.10368578201785,1.3810662025807,0.312015827601305,0.216493420850321,0.2412,0.1147,1.9073,1,6,"14","ChilShoe","F",529810,"F","F5","Tetraodontiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"GimnMicr_1",1.89872762375219,-0.103700284844737,0.422966058211664,0.068167152542051,4.48907799311407,-1.52126472909025,0.00203122849282867,0.166686776728615,0.2244,0.1274,2.3142,1,8,"18","GimnMicr","F",529810,"F","F6","Rajiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"GimnMicr_2",1.70951576424615,-0.0112718304384028,0.453810194526708,0.0759876452063777,3.76702812070816,-0.148337672628086,0.00701012210071437,0.886258995319866,0.0031,-0.1393,0.022,1,7,"19","GimnMicr","F",529810,"F","F7","Rajiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"HaemBona",2.39503527103582,-0.125027846511428,0.878640112648757,0.135937212000172,2.72584330780861,-0.91974702637913,0.0295153588260197,0.388300503283729,0.1078,-0.0196,0.8459,1,7,"7","HaemBona","F",529810,"F","F8","Perciform","abfB_fungi","Carbon cycling","Glycan degradation",125
"OpsaBeta_1",1.59793045309989,-0.0521300642748037,0.504366590255676,0.0812860361430406,3.16819250912289,-0.641316353316447,0.0132306239942602,0.539251796940991,0.0489,-0.07,0.4113,1,8,"22","OpsaBeta","F",529804,"F","F9","Batrachoidiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"OrthChry_2",1.61243837899608,-0.0656878066617631,0.404084431613624,0.0651241028798803,3.99035016656583,-1.00865583949651,0.00400335555694912,0.342670279757339,0.1128,0.0019,1.0174,1,8,"39","OrthChry","F",529804,"F","F10","Perciform","abfB_fungi","Carbon cycling","Glycan degradation",125
"PrioPunc_1",1.64200039818365,-0.0206449206799866,0.618130310646861,0.090647026763615,2.65639844851699,-0.227750665599033,0.0377049311751309,0.827402750410553,0.0086,-0.1567,0.0519,1,6,"35","PrioPunc","F",529810,"F","F11","Scorpaeniform","abfB_fungi","Carbon cycling","Glycan degradation",125
"Sdmt_A",0.591351107671435,0.110365854450213,0.379520005501899,0.0653623551154798,1.55815529905834,1.68852322189467,0.179933770428926,0.152110804790267,0.3631,0.2358,2.8511,1,5,"Sa","Sdmt","A",529810,"S","Sdmt",NA,"abfB_fungi","Carbon cycling","Glycan degradation",125
"Sdmt_B",1.55861048850371,-0.088426257718451,0.330144095026322,0.0566192451901682,4.72100065390974,-1.56177033836202,0.00325464150652096,0.169367063169042,0.289,0.1705,2.4391,1,6,"Sb","Sdmt","B",529810,"S","Sdmt",NA,"abfB_fungi","Carbon cycling","Glycan degradation",125
"Sdmt_C",1.01230171495343,0.0160199445384867,0.0853530160187419,0.0142918223890731,11.8601750959937,1.12091685037556,6.87838568610118e-06,0.299300055653175,0.1522,0.0311,1.2565,1,7,"Sc","Sdmt","C",529804,"S","Sdmt",NA,"abfB_fungi","Carbon cycling","Glycan degradation",125
"SphoSpen_1",1.17496079999863,0.0215694274959433,0.360553339929235,0.0581084322142053,3.25877108843101,0.371192728388057,0.0115484990244399,0.720131550632276,0.0169,-0.106,0.1378,1,8,"21","SphoSpen","F",529804,"F","F12","Tetraodontiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"SphoTest_1",1.37536037203493,-0.0576154796454311,0.63465677794777,0.102284201188934,2.16709317512106,-0.563288161570592,0.062099203927239,0.588674026631278,0.0381,-0.0821,0.3173,1,8,"10","SphoTest","F",529810,"F","F13","Tetraodontiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"SphoTest_2",2.25725273251569,-0.17199565719692,0.419999607129728,0.0676890656613545,5.37441629515257,-2.54096663200239,0.000666072039253067,0.0346585842288458,0.4466,0.3774,6.4565,1,8,"11","SphoTest","F",529810,"F","F14","Tetraodontiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"SphoTest_3",1.44094954637908,-0.0272488770019846,0.347668483332337,0.0582148873681643,4.14460791086915,-0.468074031126376,0.0043241591993489,0.653955754534304,0.0303,-0.1082,0.2191,1,7,"12","SphoTest","F",529810,"F","F15","Tetraodontiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"SynoFoet_2",1.34773632254473,-0.00930888307185778,1.06081589843049,0.153919348010087,1.27047145931612,-0.0604789663691127,0.250955275345231,0.953738333637693,6e-04,-0.166,0.0037,1,6,"43","SynoFoet","F",529804,"F","F16","Aulopiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"SynoFoet_3",2.03711785959114,-0.105068923844243,0.3859013940229,0.0617936777756965,5.27885592315391,-1.70031834366018,0.00186727155001278,0.13997812241206,0.3252,0.2127,2.8911,1,6,"44","SynoFoet","F",529804,"F","F17","Aulopiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"UrobJama_1",2.06626100298297,-0.0539247293916284,0.460658053017517,0.079002204327007,4.48545507768297,-0.68257246555327,0.00416805639914267,0.520345129541517,0.0721,-0.0826,0.4659,1,6,"29","UrobJama","F",529810,"F","F18","Rajiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"Wtr_A",1.19107928965539,-0.0532737132706709,0.239853561523579,0.0368642105984162,4.96586034449313,-1.44513370572378,0.0016267735582022,0.191655346944254,0.2298,0.1198,2.0884,1,7,"WA","Wtr","A",529804,"W","Wtr",NA,"abfB_fungi","Carbon cycling","Glycan degradation",125
"Wtr_B",1.59276860600291,-0.0855495672670459,0.456895967168596,0.0747771555096481,3.48606405058326,-1.14406019704785,0.0101825794422356,0.290208202506637,0.1575,0.0372,1.3089,1,7,"WB","Wtr","B",529804,"W","Wtr",NA,"abfB_fungi","Carbon cycling","Glycan degradation",125
"Wtr_C",1.94678354178511,-0.10499309668426,0.379633618038821,0.0609639650130027,5.12805886855371,-1.72221568367258,0.00135656617279198,0.12870105120135,0.2976,0.1973,2.966,1,7,"WC","Wtr","C",529804,"W","Wtr",NA,"abfB_fungi","Carbon cycling","Glycan degradation",125
"AcanQuad_1",0.834461916398354,0.000738926240436981,0.294838243131573,0.047517485397664,2.83023636125104,0.015550617509598,0.0221421539180791,0.987973728154957,0,-0.125,2e-04,1,8,"20","AcanQuad","F",529804,"F","F1","Tetraodontiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"ArioFeli_2",0.486437100701734,0.0904544952282316,0.276131890772893,0.044502683736909,1.76161145074622,2.03256270482429,0.11616137346148,0.076552262148011,0.3405,0.2581,4.1313,1,8,"16","ArioFeli","F",529804,"F","F2","Siluriform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"ChaeFabe_1",0.708197031935725,0.0384949450625767,0.308242033170796,0.0496777017613801,2.29753555882924,0.774893839644228,0.050665367654549,0.460690048654876,0.0698,-0.0465,0.6005,1,8,"8","ChaeFabe","F",529804,"F","F3","Perciform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"ChilShoe_1",0.781115564088363,0.0114407446927164,0.227422266730951,0.0366524170125012,3.43464857384633,0.312141616440036,0.00889367633871287,0.7629135122064,0.012,-0.1115,0.0974,1,8,"13","ChilShoe","F",529810,"F","F4","Tetraodontiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"ChilShoe_2",1.12149080566266,-0.0254522863544162,0.345824699317796,0.0557346968474905,3.24294594306019,-0.456668606704052,0.0118253306257366,0.660052905110316,0.0254,-0.0964,0.2085,1,8,"14","ChilShoe","F",529810,"F","F5","Tetraodontiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"GimnMicr_1",0.700448877040106,0.0513611607847641,0.230154394026633,0.0370927391956013,3.04338694032951,1.38466885699438,0.0159808089969021,0.203545433647736,0.1933,0.0925,1.9173,1,8,"18","GimnMicr","F",529810,"F","F6","Rajiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"GimnMicr_2",0.668157109285709,0.0563481356633922,0.359123768565725,0.0578780359275194,1.86052043270265,0.973566824796143,0.0998507664222122,0.358785615081128,0.1059,-0.0058,0.9478,1,8,"19","GimnMicr","F",529810,"F","F7","Rajiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"HaemBona",1.06056769562597,-0.0152879115755044,0.337194014248748,0.0543437360027085,3.14527438450788,-0.281318744348797,0.0136957735099535,0.785605228311514,0.0098,-0.114,0.0791,1,8,"7","HaemBona","F",529810,"F","F8","Perciform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"OpsaBeta_1",0.815023890756781,0.0301331530225533,0.210921676205353,0.0339931060593998,3.86410683538886,0.886448945556736,0.0047810454050327,0.401236813138406,0.0894,-0.0244,0.7858,1,8,"22","OpsaBeta","F",529804,"F","F9","Batrachoidiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"OrthChry_2",1.10236505824929,-0.0241467818074883,0.227303549754208,0.0366332840392853,4.84974853864499,-0.65914870699535,0.00127226078251211,0.528313261367987,0.0515,-0.067,0.4345,1,8,"39","OrthChry","F",529804,"F","F10","Perciform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"PrioPunc_1",0.808424051498517,0.0190007705749557,0.338217553783341,0.054508694335021,2.39024865047775,0.3485823831731,0.0438388181332157,0.736398829684322,0.015,-0.1082,0.1215,1,8,"35","PrioPunc","F",529810,"F","F11","Scorpaeniform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"Sdmt_A",1.36298530013953,-0.0132340520706433,0.294691528740647,0.0474938402325917,4.62512548617937,-0.278647757389846,0.00169880772672666,0.787582279107595,0.0096,-0.1142,0.0776,1,8,"Sa","Sdmt","A",529810,"S","Sdmt",NA,"Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"Sdmt_B",1.02996199513684,0.0264945743462817,0.309699358663571,0.0499125710310076,3.32568333231744,0.530819667250206,0.0104513024912894,0.609959270494462,0.034,-0.0867,0.2818,1,8,"Sb","Sdmt","B",529810,"S","Sdmt",NA,"Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"Sdmt_C",0.960035863803041,0.036057109269948,0.343087974837333,0.0552936337609769,2.79822067287033,0.652102363643083,0.023261561980862,0.532619353073684,0.0505,-0.0682,0.4252,1,8,"Sc","Sdmt","C",529804,"S","Sdmt",NA,"Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"SphoSpen_1",0.960070989687758,0.000593769227015674,0.298519425645649,0.0481107616785862,3.21610892695268,0.0123417132944698,0.0123108735827257,0.990455215698564,0,-0.125,2e-04,1,8,"21","SphoSpen","F",529804,"F","F12","Tetraodontiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"SphoTest_1",0.954012619599347,0.000218263421399977,0.263463158849842,0.0441152386638487,3.62104752620489,0.00494757430789643,0.00849835098812467,0.996190470140394,0,-0.1429,0,1,7,"10","SphoTest","F",529810,"F","F13","Tetraodontiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"SphoTest_2",0.873872429319608,0.0194483090644893,0.316236104203838,0.0509660629642751,2.7633543978784,0.381593317853915,0.0245472763057657,0.712698739892578,0.0179,-0.1049,0.1456,1,8,"11","SphoTest","F",529810,"F","F14","Tetraodontiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"SphoTest_3",0.616417153452706,0.0445738558409179,0.290407902893231,0.045354094677017,2.12259083623951,0.982796727800315,0.0714476329481333,0.358448238694958,0.1213,-0.0043,0.9659,1,7,"12","SphoTest","F",529810,"F","F15","Tetraodontiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"SynoFoet_2",1.12412290513919,-0.0154646823563462,0.245513699098507,0.0395681153432789,4.57865654448943,-0.39083697118703,0.0018051841181391,0.706120011126616,0.0187,-0.1039,0.1528,1,8,"43","SynoFoet","F",529804,"F","F16","Aulopiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
