"Sample","intercept","slope","sd_intercept","sd_Rank","tval_intercept","tval_Rank","pval_intercept","pval_Rank","rsquare","rsquare_adj","F_value","df_num","df_den","Biomol","Species","Site","Slide","Type","SdmWtr","Family","funct_trait","funct_category","funct_process","n"
"PrioPunc_1",0.882075692455582,0.146387695884329,0.984105683378008,0.296719027801922,0.896322120026579,0.493354595317869,0.43613019925897,0.655618883273714,0.075,-0.2333,0.2434,1,3,"35","PrioPunc","F",529810,"F","F11","Scorpaeniform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"Sdmt_A",1.32238583510406,-0.0261096259726205,0.601311798398111,0.181302328845488,2.19916828278919,-0.14401153111978,0.115261516971388,0.894621257456814,0.0069,-0.3242,0.0207,1,3,"Sa","Sdmt","A",529810,"S","Sdmt",NA,"ABC_Ab_trp","Antibiotic resistance","Transporter",103
"Sdmt_B",0.88184580052,0.0673484723033806,0.510369069362648,0.153882064334434,1.72785902096546,0.437662911494423,0.182462332201836,0.691224628540709,0.06,-0.2533,0.1915,1,3,"Sb","Sdmt","B",529810,"S","Sdmt",NA,"ABC_Ab_trp","Antibiotic resistance","Transporter",103
"Sdmt_C",0.876247965456977,0.045527536765434,0.537136304591244,0.161952689418837,1.63133260211073,0.281116274936886,0.201318683854117,0.796895099888704,0.0257,-0.2991,0.079,1,3,"Sc","Sdmt","C",529804,"S","Sdmt",NA,"ABC_Ab_trp","Antibiotic resistance","Transporter",103
"SphoSpen_1",0.503134265137358,0.188214043434626,0.524050493455196,0.158007168908317,0.96008737978676,1.19117407605624,0.407837431433562,0.319238286572559,0.3211,0.0948,1.4189,1,3,"21","SphoSpen","F",529804,"F","F12","Tetraodontiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"SphoTest_1",0.337985316013431,0.202445675471877,0.684753538770086,0.206460960178951,0.493586811716957,0.980551845232178,0.655472849431871,0.399122414507842,0.2427,-0.0097,0.9615,1,3,"10","SphoTest","F",529810,"F","F13","Tetraodontiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"SphoTest_2",1.06787583885041,0.0206553248412592,0.812903618128478,0.245099662914046,1.31365615189282,0.0842731670687884,0.280391005657114,0.938147919187168,0.0024,-0.3302,0.0071,1,3,"11","SphoTest","F",529810,"F","F14","Tetraodontiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"SphoTest_3",0.440214174924696,0.168569113850995,0.717293629758055,0.216272166765416,0.61371543906389,0.779430457335905,0.582803143441762,0.492562879840813,0.1684,-0.1088,0.6075,1,3,"12","SphoTest","F",529810,"F","F15","Tetraodontiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"SynoFoet_2",0.456842329558606,0.227422914239408,0.998902867904257,0.301180546804397,0.457344096445615,0.755104925110281,0.678511061669428,0.505059136148332,0.1597,-0.1204,0.5702,1,3,"43","SynoFoet","F",529804,"F","F16","Aulopiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"SynoFoet_3",0.443906309385961,0.206169202258214,0.370303282247556,0.11165064053202,1.19876417700559,1.84655637688964,0.316677137963926,0.161978102534139,0.532,0.376,3.4098,1,3,"44","SynoFoet","F",529804,"F","F17","Aulopiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"UrobJama_1",0.839314878065449,0.0331779154147267,0.829462856264314,0.250092461069566,1.01187759250065,0.132662597156409,0.386119983218209,0.902858434812723,0.0058,-0.3256,0.0176,1,3,"29","UrobJama","F",529810,"F","F18","Rajiform","ABC_Ab_trp","Antibiotic resistance","Transporter",103
"Wtr_A",1.25677095572362,0.0221390647246433,0.766225648946388,0.231025725663795,1.6402099792036,0.0958294348433804,0.199495492130363,0.9296986483918,0.0031,-0.3293,0.0092,1,3,"WA","Wtr","A",529804,"W","Wtr",NA,"ABC_Ab_trp","Antibiotic resistance","Transporter",103
"Wtr_B",0.230524221660027,0.275825038649378,0.412860381676762,0.124482088802249,0.558358786386312,2.21578093124345,0.615563560769091,0.113488293705506,0.6207,0.4943,4.9097,1,3,"WB","Wtr","B",529804,"W","Wtr",NA,"ABC_Ab_trp","Antibiotic resistance","Transporter",103
"Wtr_C",0.330045963034666,0.280590339645206,0.43956096641506,0.132532618007706,0.750853665934971,2.11714175621953,0.50726972893445,0.124519698569602,0.5991,0.4654,4.4823,1,3,"WC","Wtr","C",529804,"W","Wtr",NA,"ABC_Ab_trp","Antibiotic resistance","Transporter",103
"AcanQuad_1",0.978404650298454,-0.027028396738823,0.125832203849393,0.0379398369738136,7.77547098729589,-0.712401499180881,0.00442605213007964,0.527624333853056,0.1447,-0.1404,0.5075,1,3,"20","AcanQuad","F",529804,"F","F1","Tetraodontiform","abfB","Carbon cycling","Glycan degradation",455
"ArioFeli_2",1.02616960861544,-0.0301701649644393,0.0752353711531086,0.0226843179161809,13.6394569852938,-1.33000097582474,0.000852586805715088,0.275592605257494,0.3709,0.1612,1.7689,1,3,"16","ArioFeli","F",529804,"F","F2","Siluriform","abfB","Carbon cycling","Glycan degradation",455
"ChaeFabe_1",0.84265404954043,0.0403331904199227,0.303610200952035,0.091541919916573,2.77544709268038,0.440598039200844,0.0692530160877779,0.689319756660343,0.0608,-0.2523,0.1941,1,3,"8","ChaeFabe","F",529804,"F","F3","Perciform","abfB","Carbon cycling","Glycan degradation",455
"ChilShoe_1",0.855892938274232,0.0298536570448126,0.439242416601167,0.132436571625004,1.94856622658869,0.225418528118831,0.146478937295675,0.836136736070726,0.0167,-0.3111,0.0508,1,3,"13","ChilShoe","F",529810,"F","F4","Tetraodontiform","abfB","Carbon cycling","Glycan degradation",455
"ChilShoe_2",0.555968875844652,0.0909767251382158,0.234683292619032,0.0707596751075012,2.36901770739671,1.28571428571429,0.0985915538102967,0.288798513630085,0.3553,0.1404,1.6531,1,3,"14","ChilShoe","F",529810,"F","F5","Tetraodontiform","abfB","Carbon cycling","Glycan degradation",455
"GimnMicr_1",0.836081443394887,0.0387434320509814,0.383477338862902,0.115622768055656,2.18026297427133,0.335084799494956,0.117320101338321,0.759623636481106,0.0361,-0.2852,0.1123,1,3,"18","GimnMicr","F",529810,"F","F6","Rajiform","abfB","Carbon cycling","Glycan degradation",455
"GimnMicr_2",0.485397265733094,0.17844255276452,0.443457813597357,0.133707561641254,1.09457371332692,1.33457338219429,0.353714437276423,0.27426584504981,0.3725,0.1634,1.7811,1,3,"19","GimnMicr","F",529810,"F","F7","Rajiform","abfB","Carbon cycling","Glycan degradation",455
"HaemBona",0.630242666136279,0.102961932031558,0.150774913721794,0.0454603469648544,4.18002339102104,2.26487343158992,0.0249448545795024,0.108436803355321,0.631,0.508,5.1297,1,3,"7","HaemBona","F",529810,"F","F8","Perciform","abfB","Carbon cycling","Glycan degradation",455
"OpsaBeta_1",1.12864965748553,-0.0473017699368273,0.258119877403428,0.0778260712981551,4.37257939543149,-0.607788227618636,0.0221300127009837,0.586249854685105,0.1096,-0.1872,0.3694,1,3,"22","OpsaBeta","F",529804,"F","F9","Batrachoidiform","abfB","Carbon cycling","Glycan degradation",455
"OrthChry_2",0.830200521671847,-0.000163280188795252,0.264081362369909,0.0796235266460788,3.14373007705464,-0.00205065256053053,0.0515145583845684,0.99849255606056,0,-0.3333,0,1,3,"39","OrthChry","F",529804,"F","F10","Perciform","abfB","Carbon cycling","Glycan degradation",455
"PrioPunc_1",1.15674413333615,-0.0255136912490626,0.135585742991662,0.040880639674991,8.53145845435454,-0.62410205544486,0.0033831961086006,0.576799028148502,0.1149,-0.1801,0.3895,1,3,"35","PrioPunc","F",529810,"F","F11","Scorpaeniform","abfB","Carbon cycling","Glycan degradation",455
"Sdmt_A",0.816120132906619,0.00572274560382957,0.162287359590131,0.0489314799979954,5.02885828549921,0.116954271648109,0.0151514004691929,0.914286567321923,0.0045,-0.3273,0.0137,1,3,"Sa","Sdmt","A",529810,"S","Sdmt",NA,"abfB","Carbon cycling","Glycan degradation",455
"Sdmt_B",1.27565854025096,-0.0775394681381585,0.221845360188651,0.0668888928388183,5.75021510103334,-1.15922786052095,0.0104482855325184,0.33025014570683,0.3094,0.0791,1.3438,1,3,"Sb","Sdmt","B",529810,"S","Sdmt",NA,"abfB","Carbon cycling","Glycan degradation",455
"Sdmt_C",0.885865050740419,0.0207049521652571,0.224648449391822,0.0677340560334381,3.94333926247285,0.305680087355698,0.0290721169989497,0.779831882333063,0.0302,-0.2931,0.0934,1,3,"Sc","Sdmt","C",529804,"S","Sdmt",NA,"abfB","Carbon cycling","Glycan degradation",455
"SphoSpen_1",1.18777908721105,-0.0356654153727711,0.361096399125927,0.108874660822647,3.28936840712398,-0.327582332778688,0.0460998738451434,0.764756209936934,0.0345,-0.2873,0.1073,1,3,"21","SphoSpen","F",529804,"F","F12","Tetraodontiform","abfB","Carbon cycling","Glycan degradation",455
"SphoTest_1",0.864075531506101,0.0533216767257928,0.11607405405725,0.0349976441093935,7.44417465663705,1.52357903175206,0.00501768682837399,0.224999719894976,0.4362,0.2483,2.3213,1,3,"10","SphoTest","F",529810,"F","F13","Tetraodontiform","abfB","Carbon cycling","Glycan degradation",455
"SphoTest_2",1.08645367153191,-0.024152244631323,0.14465298345609,0.0436145155390306,7.51075882138103,-0.553766202211031,0.00489075413582103,0.618338167584651,0.0927,-0.2097,0.3067,1,3,"11","SphoTest","F",529810,"F","F14","Tetraodontiform","abfB","Carbon cycling","Glycan degradation",455
"SphoTest_3",0.918511556513066,-0.0155411049639762,0.13653912757533,0.0411680959427125,6.72709407789584,-0.377503613128051,0.00670617751717835,0.730923869343316,0.0453,-0.2729,0.1425,1,3,"12","SphoTest","F",529810,"F","F15","Tetraodontiform","abfB","Carbon cycling","Glycan degradation",455
"SynoFoet_2",0.729002799865468,0.0707064064459127,0.234893134571564,0.0708229448367577,3.10355090281861,0.998354510799945,0.0531480613441817,0.391683183215396,0.2494,-8e-04,0.9967,1,3,"43","SynoFoet","F",529804,"F","F16","Aulopiform","abfB","Carbon cycling","Glycan degradation",455
"SynoFoet_3",0.568636081367605,0.113309631111212,0.274734963556257,0.0828357082643699,2.06976234115599,1.36788389313441,0.130271796684562,0.264802331612136,0.3841,0.1788,1.8711,1,3,"44","SynoFoet","F",529804,"F","F17","Aulopiform","abfB","Carbon cycling","Glycan degradation",455
"UrobJama_1",1.04830846643736,-0.000180887805246212,0.219538010025834,0.0661932005888158,4.77506590459666,-0.00273272486655942,0.0174536415944359,0.997991163090783,0,-0.3333,0,1,3,"29","UrobJama","F",529810,"F","F18","Rajiform","abfB","Carbon cycling","Glycan degradation",455
"Wtr_A",0.749165828658148,0.0256051773199952,0.105093679352831,0.0316869365682964,7.12855267102196,0.808067301324858,0.00568230618960901,0.478184973219176,0.1788,-0.095,0.653,1,3,"WA","Wtr","A",529804,"W","Wtr",NA,"abfB","Carbon cycling","Glycan degradation",455
"Wtr_B",0.917207415134923,-0.0210349814118818,0.086249881594526,0.0260053177692385,10.6343034700831,-0.808872308292422,0.00177700424925076,0.477785999696963,0.179,-0.0946,0.6543,1,3,"WB","Wtr","B",529804,"W","Wtr",NA,"abfB","Carbon cycling","Glycan degradation",455
"Wtr_C",0.866708571130531,-0.016489043676217,0.144727885014928,0.0436370992087469,5.98853891246413,-0.37786754791693,0.00932274389872603,0.730680074489223,0.0454,-0.2728,0.1428,1,3,"WC","Wtr","C",529804,"W","Wtr",NA,"abfB","Carbon cycling","Glycan degradation",455
"AcanQuad_1",1.65832437039373,-0.146494433958183,0.666834342333662,0.201058119167651,2.48686107645602,-0.728617349872001,0.0887298417175671,0.518961508680424,0.1504,-0.1329,0.5309,1,3,"20","AcanQuad","F",529804,"F","F1","Tetraodontiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"ArioFeli_2",2.42054354828374,-0.389667462628809,0.768914049164845,0.231836308828425,3.14800275910267,-1.68078703719006,0.0513445967615144,0.191395579015146,0.485,0.3133,2.825,1,3,"16","ArioFeli","F",529804,"F","F2","Siluriform","abfB_fungi","Carbon cycling","Glycan degradation",125
"ChaeFabe_1",1.40931592574674,-0.074578064482667,0.467929027303878,0.141085910189357,3.01181556072075,-0.528600371097104,0.0571292230066557,0.63369300241261,0.0852,-0.2197,0.2794,1,3,"8","ChaeFabe","F",529804,"F","F3","Perciform","abfB_fungi","Carbon cycling","Glycan degradation",125
"ChilShoe_1",1.99461580109082,-0.245989374659343,0.499051637217267,0.150469730151113,3.99681245855215,-1.63480970167424,0.0280669516845466,0.200602350732,0.4711,0.2949,2.6726,1,3,"13","ChilShoe","F",529810,"F","F4","Tetraodontiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"ChilShoe_2",1.10385093167702,0.0735900621118012,0.581004298372714,0.175179387207817,1.89990148914337,0.420084025208403,0.153646460865296,0.702696943894362,0.0556,-0.2593,0.1765,1,3,"14","ChilShoe","F",529810,"F","F5","Tetraodontiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"GimnMicr_1",1.8298775976348,-0.16684357418497,0.295217142171311,0.0890113174784767,6.19841240984897,-1.87440854614149,0.0084598383541844,0.157564251349428,0.5394,0.3859,3.5134,1,3,"18","GimnMicr","F",529810,"F","F6","Rajiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"GimnMicr_2",1.67311681122703,-0.0623904722324492,0.603587183420921,0.181988383243147,2.7719554973722,-0.342826674541594,0.069455030808604,0.754344640051978,0.0377,-0.2831,0.1175,1,3,"19","GimnMicr","F",529810,"F","F7","Rajiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"HaemBona",1.85832192310692,-0.117166270846537,1.04076742559296,0.313803185883272,1.78553044360335,-0.373375020131632,0.172159113419039,0.733692534561264,0.0444,-0.2741,0.1394,1,3,"7","HaemBona","F",529810,"F","F8","Perciform","abfB_fungi","Carbon cycling","Glycan degradation",125
"OpsaBeta_1",1.65532904241637,-0.114593247109208,0.683154921784316,0.205978959022106,2.4230653833143,-0.556334722989396,0.0939107933399757,0.616785341755593,0.0935,-0.2086,0.3095,1,3,"22","OpsaBeta","F",529804,"F","F9","Batrachoidiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"OrthChry_2",1.64056470707839,-0.129757328759579,0.656626410526709,0.197980311923179,2.49847505488307,-0.655405214281751,0.0878246575514892,0.558981485638611,0.1253,-0.1663,0.4296,1,3,"39","OrthChry","F",529804,"F","F10","Perciform","abfB_fungi","Carbon cycling","Glycan degradation",125
"PrioPunc_1",0.757673111486549,0.150608033552063,0.621076908514166,0.187261733772307,1.21993444145133,0.804264867776928,0.309643761915352,0.480073359461923,0.1774,-0.0968,0.6468,1,3,"35","PrioPunc","F",529810,"F","F11","Scorpaeniform","abfB_fungi","Carbon cycling","Glycan degradation",125
"Sdmt_A",0.620123975345668,0.0638081717018434,0.17779486257375,0.05360716807363,3.48786217086807,1.19029178363241,0.0398282673769826,0.319537363996311,0.3208,0.0944,1.4168,1,3,"Sa","Sdmt","A",529810,"S","Sdmt",NA,"abfB_fungi","Carbon cycling","Glycan degradation",125
"Sdmt_B",1.64641300048641,-0.192539372146962,0.30634213853983,0.0981080021541705,5.3744254980199,-1.96252464548609,0.0329206385234158,0.188700134610446,0.6582,0.4873,3.8515,1,2,"Sb","Sdmt","B",529810,"S","Sdmt",NA,"abfB_fungi","Carbon cycling","Glycan degradation",125
"Sdmt_C",1.04364294197361,-0.0192241190106219,0.296540924078079,0.0894104527411141,3.5193892553556,-0.215009749098183,0.0389343260442859,0.843546744416489,0.0152,-0.3131,0.0462,1,3,"Sc","Sdmt","C",529804,"S","Sdmt",NA,"abfB_fungi","Carbon cycling","Glycan degradation",125
"SphoSpen_1",1.21698663607368,0.0256303371643621,0.439629671879944,0.132553333484803,2.76820859445088,0.193358676772173,0.0696726328101039,0.859028882385098,0.0123,-0.3169,0.0374,1,3,"21","SphoSpen","F",529804,"F","F12","Tetraodontiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"SphoTest_1",1.30794421207462,-0.0835091534204685,0.891111130380791,0.268680115089323,1.46776778729686,-0.310812556384032,0.238464813478384,0.776287079402915,0.0312,-0.2917,0.0966,1,3,"10","SphoTest","F",529810,"F","F13","Tetraodontiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"SphoTest_2",2.39952312575744,-0.362855771444306,0.236425846759241,0.0712850749493151,10.1491573728017,-5.09020677473234,0.00203801281170433,0.0146551056105506,0.8962,0.8616,25.9102,1,3,"11","SphoTest","F",529810,"F","F14","Tetraodontiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"SphoTest_3",1.58807239700605,-0.139628012481465,0.590644902892449,0.178086138839105,2.68870922144438,-0.78404761533751,0.0744957176637909,0.490220356731868,0.1701,-0.1066,0.6147,1,3,"12","SphoTest","F",529810,"F","F15","Tetraodontiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"SynoFoet_2",1.11908753460413,0.0486312133455674,0.8921101998635,0.242801642666433,1.25442746285758,0.200291945357134,0.336419986403163,0.859771605464737,0.0197,-0.4705,0.0401,1,2,"43","SynoFoet","F",529804,"F","F16","Aulopiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"SynoFoet_3",1.6799550061469,-0.170882998258529,0.687773107697537,0.207371394466311,2.44260060090296,-0.82404325195532,0.0922859231213937,0.470320185843574,0.1846,-0.0872,0.679,1,3,"44","SynoFoet","F",529804,"F","F17","Aulopiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"UrobJama_1",2.18814534785332,-0.142242230289804,0.677041016318298,0.216826655986738,3.23192435186911,-0.656018189472536,0.0838683420009758,0.579195293108062,0.1771,-0.2344,0.4304,1,2,"29","UrobJama","F",529810,"F","F18","Rajiform","abfB_fungi","Carbon cycling","Glycan degradation",125
"Wtr_A",0.790400919084156,-0.000371512626346339,0.374261224521109,0.11284400502868,2.11189636355069,-0.00329226728749939,0.125141413124447,0.997579843046626,0,-0.3333,0,1,3,"WA","Wtr","A",529804,"W","Wtr",NA,"abfB_fungi","Carbon cycling","Glycan degradation",125
"Wtr_B",1.76363305340206,-0.2466033273197,0.565932605800524,0.170635100915313,3.11633052297342,-1.44520867041354,0.0526215092075768,0.24415536701846,0.4105,0.2139,2.0886,1,3,"WB","Wtr","B",529804,"W","Wtr",NA,"abfB_fungi","Carbon cycling","Glycan degradation",125
"Wtr_C",1.87643414241268,-0.213298054577446,0.264114530723386,0.0796335272809331,7.10462289701857,-2.67849562691061,0.0057373188183974,0.0751449887178962,0.7051,0.6069,7.1743,1,3,"WC","Wtr","C",529804,"W","Wtr",NA,"abfB_fungi","Carbon cycling","Glycan degradation",125
"AcanQuad_1",0.813789244249543,0.00829001348245902,0.423088172226197,0.127565883682869,1.92345070760916,0.0649861329935842,0.150128015870348,0.952273132509782,0.0014,-0.3315,0.0042,1,3,"20","AcanQuad","F",529804,"F","F1","Tetraodontiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"ArioFeli_2",0.440273422710724,0.181229919271061,0.380237945691508,0.114646054264933,1.1578892314654,1.58077764152494,0.330719846230894,0.212064454262219,0.4544,0.2726,2.4989,1,3,"16","ArioFeli","F",529804,"F","F2","Siluriform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"ChaeFabe_1",0.687031571253191,0.0776065282943952,0.275223292130811,0.0829829448694795,2.49626972315501,0.935210583529655,0.0879956655752427,0.418669180079057,0.2257,-0.0324,0.8746,1,3,"8","ChaeFabe","F",529804,"F","F3","Perciform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"ChilShoe_1",0.700494310218781,0.0478343807075434,0.23431901556355,0.0706498414427038,2.98948981385081,0.677062817562536,0.0581543143895438,0.546900364879841,0.1326,-0.1566,0.4584,1,3,"13","ChilShoe","F",529810,"F","F4","Tetraodontiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"ChilShoe_2",1.17568392769907,-0.0645980180054436,0.338302889621838,0.102002159124423,3.47524057217861,-0.633300496381125,0.0401934724155907,0.571519948038143,0.1179,-0.1761,0.4011,1,3,"14","ChilShoe","F",529810,"F","F5","Tetraodontiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"GimnMicr_1",0.659417926063334,0.107929399405796,0.317467088327467,0.0957199286608022,2.07712216575705,1.1275541145487,0.129357862907327,0.341545149152148,0.2977,0.0635,1.2714,1,3,"18","GimnMicr","F",529810,"F","F6","Rajiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"GimnMicr_2",0.653557214505994,0.108234320554144,0.602812552638356,0.181754823274345,1.08417983607929,0.595496276821072,0.357637439415838,0.593444727421294,0.1057,-0.1924,0.3546,1,3,"19","GimnMicr","F",529810,"F","F7","Rajiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"HaemBona",1.04011621668226,-0.0210682042383802,0.267942469810248,0.0807876943419746,3.88186395915082,-0.260784818900741,0.0302856440895363,0.811135098791923,0.0222,-0.3038,0.068,1,3,"7","HaemBona","F",529810,"F","F8","Perciform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"OpsaBeta_1",0.801508778104691,0.0597879158898141,0.369996964792393,0.111558282344246,2.16625771120696,0.535934353178017,0.11887359434525,0.629192014159384,0.0874,-0.2168,0.2872,1,3,"22","OpsaBeta","F",529804,"F","F9","Batrachoidiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"OrthChry_2",1.12944826417599,-0.0532259418790204,0.373470492583705,0.112605590379033,3.0241967882452,-0.472675838738208,0.0565705107684593,0.668705217102671,0.0693,-0.2409,0.2234,1,3,"39","OrthChry","F",529804,"F","F10","Perciform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"PrioPunc_1",0.787765001078122,0.0419316175423597,0.489523887085849,0.147597005398188,1.60924731532043,0.284095313649735,0.205936204627909,0.794817297128996,0.0262,-0.2984,0.0807,1,3,"35","PrioPunc","F",529810,"F","F11","Scorpaeniform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"Sdmt_A",1.29093591035866,-0.000330116901509596,0.252042003277181,0.075993523298176,5.12190783112832,-0.00434401363671896,0.0144069453596366,0.996806706404141,0,-0.3333,0,1,3,"Sa","Sdmt","A",529810,"S","Sdmt",NA,"Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"Sdmt_B",1.04145745537469,0.0448153155322437,0.364738367247363,0.109972755527851,2.85535482114054,0.407512890962291,0.0648234433083157,0.710967006036201,0.0525,-0.2634,0.1661,1,3,"Sb","Sdmt","B",529810,"S","Sdmt",NA,"Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"Sdmt_C",0.999418268552695,0.0529975403137336,0.38756128121342,0.116854123004939,2.57873610445193,0.453535904004804,0.0818695451814813,0.680960110849181,0.0642,-0.2478,0.2057,1,3,"Sc","Sdmt","C",529804,"S","Sdmt",NA,"Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"SphoSpen_1",0.936511047330715,0.0089200482806816,0.146500197896212,0.0441714716485954,6.39255824073483,0.201941387682184,0.00775267704351403,0.852880869978449,0.0134,-0.3155,0.0408,1,3,"21","SphoSpen","F",529804,"F","F12","Tetraodontiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"SphoTest_1",0.948005583665247,-0.0294647456830385,0.383232811899274,0.115549040402067,2.47370672403284,-0.254997753166208,0.0897689284578019,0.815206665442374,0.0212,-0.305,0.065,1,3,"10","SphoTest","F",529810,"F","F13","Tetraodontiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"SphoTest_2",0.909378006174073,0.0238334920478095,0.251726548859933,0.0758984102126785,3.61256295886404,0.314018330305266,0.0364377477966947,0.774076668213566,0.0318,-0.2909,0.0986,1,3,"11","SphoTest","F",529810,"F","F14","Tetraodontiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"SphoTest_3",0.430668097744842,0.117119797164131,0.521781207283146,0.15732295338335,0.825380622631621,0.744454605290459,0.469666885612233,0.510612106034315,0.1559,-0.1254,0.5542,1,3,"12","SphoTest","F",529810,"F","F15","Tetraodontiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
"SynoFoet_2",1.16586719156942,-0.0422802867659162,0.312574039162341,0.0942446188279401,3.72989130733248,-0.448622821034548,0.0335773458199543,0.684127516859337,0.0629,-0.2495,0.2013,1,3,"43","SynoFoet","F",529804,"F","F16","Aulopiform","Acd","Organic Remediation","Aromatic hydrocarbons catabolism ",356
